Year,Year Code,Country Name,Country Code,GDP,Compulsory years - legal,Entrance age to education,Govt Expenditure (USD),GER - tertiary education,GER - Primary,Overall Labour Force,Labor force - advanced education,Labor force - basic education,Early childhood enrollment,Early childhood enrollment - pre primary,GER - tertiary -Male,GER - tertiary -Female,Net flow - international students,Outbound mobility ratio,Youth literacy rate,Unemployment,"Unemployment, male","Unemployment, female",Percentage with no schooling - adults,Net enrollment rate,Net enrollment rate - upper secondary,Teachers - secondary education
2013,YR2013,China,CHN,7050.64592,9,6,17463.7,32.43367,99.5646,782215189,83.166,86.05,36857624,36857624,30.50321,34.55895,-623027,2.11032,99.29699925,4.590000153,5.072000027,3.977999926,6.18975,97.27,89.19,3603026
2013,YR2013,Singapore,SGP,56967.42579,6,6,8422.82148,83.3454675,99.4384,3272484,87.29335,79.8457,2926740,1863920,69.2342,75.34857,30281,8.6321,99.89861,3.859999895,3.480999947,4.407000065,0.0134,99.92992896,99.90859667,287647
2013,YR2013,Malaysia,MYS,10970.12328,6,6,17719.48204,39.07458,104.66016,13939869,67.30999756,68.95999908,866710,866710,33.24597,45.21575,10354,5.35723,98.22,3.109999895,2.917000055,3.436000109,7.61289,99.66427,63.89759,275615
2013,YR2013,Uruguay,URY,16973.67421,12,4,2343.973066,59.87363,111.70156,1726790,82.76609802,64.50090027,177733,129203,38.349,46.00555,-24286,2.72129,98.91048,6.443999767,5.010000229,8.227999687,1.1036,99.91619,80.1152225,20749
2013,YR2013,Thailand,THA,6168.264895,9,6,17334.64572,49.85337,96.91785,39233144,86.69120026,71.84449768,2804082,1727778.4,42.38451,57.46897,-3456,1.08537,98.44835,0.488999993,0.5,0.476000011,4.94424,97.96249071,68.95666167,129075
2014,YR2014,Argentina,ARG,12334.79825,12,5,28218.33751,80.99581,111.45967,19009264,82.21040344,49.82709885,1711266,1597990,62.19477,100.30122,64986,0.26828,99.29671,7.268000126,6.485000134,8.383000374,0.89833,99.90196,87.18768,224158
2014,YR2014,Brazil,BRA,12112.5903,12,4,146094.2443,47.33456,132.476655,99932834,82.48429871,68.81580353,7869869,4971941,41.43533,51.11234,-26177,0.56081,99.12835,6.660999775,5.592000008,8.11400032,11.67364,93.54393,86.98654,804019
2014,YR2014,Chile,CHL,14670.99676,12,6,12326.10519,82.84638,100.94146,8714329,82.91200256,49.64030075,756456,608860,78.37948,87.45525,-10061,1.1038,99.12297857,6.664999962,6.34100008,7.124000072,2.2672975,96.1001,93.52564,26359
2014,YR2014,United Kingdom,GBR,47417.63505,11,5,155989.3004,56.5645,102.25555,33194855,83.68789673,56.95930099,1596803,1429852,48.91376,64.50465,398661,1.27767,95.2378,6.110000134,6.361999989,5.820000172,0.11635,99.89948,99.30882,154724
2014,YR2014,Switzerland,CHE,86605.51739,9,5,35822.43347,57.22972,103.48743,4742519,80.8832016,50.74470139,165659,165659,56.75972,57.71653,37219,4.25687,99.4778975,4.826000214,4.686999798,4.986000061,0.2737,99.80702,80.28041,33289
